Title,Authors,Pubhouse,NewPrice,OldPrice,Discount
OpenSSL 3. Ключ к тайнам криптографии,Хлебников Алексей,ДМК-Пресс,2 303,4 187,45
Julia в качестве второго языка,Энгхейм Эрик,ДМК-Пресс,2 918,5 306,45
Защита и укрепление Linux,Треволт Дональд А.,ДМК-Пресс,3 071,5 583,45
JavaScript. Рецепты для разработчиков,"Скотт Адам Д., Пауэрс Шелли, Макдоналд Мэтью",Питер : Бестселлеры O`Reilly,1 955,2 506,22
Искусство чистого кода. Как избавиться от сложности и упростить жизнь,Майер Кристиан,Питер : Библиотека программиста,1 412,1 810,22
Микросервисы. От архитектуры до релиза,"Митра Ронни, Надареишвили Иракли",Питер : Бестселлеры O`Reilly,1 633,2 093,22
"97 вещей, о которых должен знать каждый Java-программист","Хенни Кевлин, Триша Джи",Бомбора : Мировой компьютерный бестселлер,902,1 388,35
Безопасность веб-приложений. Исчерпывающий гид для начинающих разработчиков,Янка Таня,Бомбора : КиберБез. Лучшие книги о безопасности в сети,995,1 530,35
Линейное программирование. Часть 1. Учебное пособие для бакалавриата,Шандра Игорь Георгиевич,Прометей,518,941,45
Level up! Руководство по созданию классных видеоигр,Роджерс Скотт,Бомбора : Мировой компьютерный бестселлер,1 334,2 053,35
Современный С++. Безопасное использование,"Лакос Джон, Хлебников Ростислав, Мередит Алисдар",ДМК-Пресс,4 146,7 539,45
Модернизация Java Enterprise. Облачные технологии для разработчиков,"Эйзеле Маркус, Винто Натале",Питер : Бестселлеры O`Reilly,2 114,2 710,22
Практикум по информатике. Основы алгоритмизации и программирования,Колокольникова Алла Ивановна,Директмедиа Паблишинг,1 202,2 186,45
Введение в теорию языков программирования,"Довек Жиль, Леви Жан-Жак",ДМК-Пресс,613,1 115,45
Spring в действии,Уоллс Крейг,ДМК-Пресс : Программирование в действии,1 919,3 489,45
Программирование на языке OCaml,"Мински Ярон, Мадхавапедди Анил, Хикки Джейсон",ДМК-Пресс : Функциональное программирование,1 536,2 793,45
CUDA Fortran для инженеров и научных работников. Рекомендации по эффективному программированию,"Рутш Грегори, Фатика Массимилиано",ДМК-Пресс,921,1 674,45
Платформа Windows Azure,"Редкар Теджасви, Тони Гвидичи",ДМК-Пресс,1 228,2 233,45
"За пределами ""Linux с нуля"". Версия 7.4. Том 2",Не указан автор,ДМК-Пресс,1 228,2 233,45
.NET Сетевое программирование,"Кумар Винод, Кровчик Эндрю, Лагари Номан",Лори,962,1 749,45
Моделирование электротехнических устройств в MATLAB. SimPowerSystems и Simulink,Черных Илья Викторович,ДМК-Пресс : Проектирование,613,1 115,45
Java. Эффективное программирование,Блох Джошуа,Лори,1 421,2 584,45
Разработка веб-приложений с использованием AngularJS,"Козловский Павел, Бэкон Дарвин Питер",ДМК-Пресс,997,1 813,45
LabVIEW. Практический курс для инженеров и разработчиков,Магда Юрий Степанович,ДМК-Пресс : Все о LabVIEW,767,1 395,45
"Принципы построения, применения и проектирования компьютерной платформы U-SYS","Росляков Александр Владимирович, Крылов Павел Сергеевич",Солон-пресс : Библиотека студента,245,445,45
Разработка приложений Java EE 6 в NetBeans 7,Хеффельфингер Дэвид,ДМК-Пресс,921,1 674,45
Курс практического программирования в Delphi. Объектно – ориентированное программирование. Практикум,Санников Е. В.,Солон-пресс : Элективный курс. Профильное обучение,641,1 165,45
C++ AMP. Построение массивно параллельных программ с помощью Microsoft Visual C++,"Грегори Кейт, Миллер Эйд",ДМК-Пресс,1 074,1 953,45
Оптимизация производительности приложений для iOS. Для профессионалов,Во Ханг,ДМК-Пресс,704,1 280,45
Структуры данных и алгоритмы в Java. Классика Computers Science,Лафоре Роберт,Питер : Классика computer science,2 830,3 628,22
"Звуковой дизайн в видеоиграх. Технология ""игрового"" аудио для непрограммистов",Деникин Антон Анатольевич,ДМК-Пресс,1 688,3 069,45
Создание web-приложений в Silverlight,Буньон Лоран,ДМК-Пресс,573,1 042,45
С++ для начинающих,Шилдт Герберт,Эком : Шаг за шагом,1 178,2 142,45
Профессиональное программирование приложений для iPhone и iPad,Баклин Джин,Эксмо : Мировой компьютерный бестселлер,1 010,1 384,27
Silverlight. Практическое руководство,Браун Пит,Питер,1 399,1 793,22
PHP. Создание динамических страниц,Пауэрс Дэвид,Рид Групп : Веб-технологии,933,1 555,40
