Title,Authors,Pubhouse,NewPrice,OldPrice,Discount 
Собираем устройства для тестов на проникновение,Бирюков Андрей Александрович,ДМК-Пресс,1 765,3 209,45
Java. Карманный справочник,"Лигуори Роберт, Лигуори Патрисия",Диалектика,1 478,2 688,45
Чистая архитектура. Искусство разработки программного обеспечения,Мартин Роберт С.,Питер : Библиотека программиста,890,1 113,20
Объектно Ориентированное Программирование,Гаско Рик,Солон-пресс : Программирование,1 014,1 844,45
Простая Математика для Простых Программистов,Гаско Рик,Солон-пресс : Программирование,845,1 537,45
Простой учебник программирования,Гаско Рик,Солон-пресс : Программирование,922,1 676,45
Потоковая обработка данных. Конвейер реального времени,Пселтис Эндрю Дж.,ДМК-Пресс,1 305,2 372,45
Java для чайников,Берд Барри,"Диалектика : Для ""чайников""",2 268,4 123,45
Психбольница в руках пациентов. Алан Купер об интерфейсах,Купер Алан,Питер : Библиотека программиста,1 528,1 959,22
"Высоконагруженные приложения. Программирование, масштабирование, поддержка",Клеппман Мартин,Питер : Бестселлеры O`Reilly,2 338,2 923,20
Глубокое обучение с точки зрения практика,"Паттерсон Джош, Гибсон Адам",ДМК-Пресс,1 995,3 628,45
Релевантный поиск с использованием Elasticsearch и Solr,"Тарнбулл Даг, Берримен Джон",ДМК-Пресс,1 995,3 628,45
Программирование на языке Rust. Цветное издание,"Блэнди Джим, Орендорф Джейсон",ДМК-Пресс,2 769,5 035,45
Алгоритмы для начинающих. Теория и практика для разработчика,Луридас Панос,Бомбора : Мировой компьютерный бестселлер,1 268,1 737,27
Язык С в XXI веке,Клеменс Бен,ДМК-Пресс,1 459,2 652,45
Android. Сборник рецептов. Задачи и решения для разработчиков приложений,Дарвин Ян Ф.,Диалектика,3 746,6 810,45
Теория и практика делового общения для разработчиков программного обеспечения и IT-менеджеров,Абельская Раиса Шолемовна,Флинта,185,336,45
Анализ социальных медиа на Python,Бонцанини Марко,ДМК-Пресс,1 688,3 069,45
Глубокое обучение (цветная),"Бенджио Иошуа, Гудфеллоу Ян, Курвилль Аарон",ДМК-Пресс,3 071,5 583,45
"Прямые и обратные задачи восстановления изображений, спектроскопии и томографии с MatLab (+CD)",Сизиков Валерий Сергеевич,Лань : Учебники для вузов. Специальная литература,2 686,4 883,45
Введение в программную инженерию. Учебник,"Антипов Владимир Анатольевич, Пылькин Александр Николаевич, Бубнов Алексей Алексеевич",ИНФРА-М,4 032,Нет старой цены,Ошибка
Asyncio и конкурентное программирование на Python,Фаулер Мэттью,ДМК-Пресс,2 610,4 746,45
Создай свой собственный язык программирования. Руководство программиста по разработке компиляторов,Джеффери Клинтон Л.,ДМК-Пресс,2 379,4 326,45
Учимся рисовать на компьютере кодом p5.js,"Розанов Андрей Николаевич, Жуков Кирилл Леонидович",ДМК-Пресс,1 536,2 793,45
Основы теории интеллектуального управления энергосберегающими режимами. Учебное пособие,"Поляков Анатолий Евгеньевич, Иванов Максим Сергеевич",Лань,3 872,7 040,45
Система контроля версий. Основы командной разработки. Учебное пособие,"Васильева Марина Алексеевна, Филипченко Константин Михайлович",Лань : Компьютеры и программное обеспечение,3 872,7 040,45
Разработка программного тренажера в среде многоагентного моделирования NetLogo. Учебное пособие,Исхаков Алмаз Раилевич,Лань : Компьютеры и программное обеспечение,3 043,5 532,45
Эффективное тестирование программного обеспечения,Аниче Маурисио,ДМК-Пресс,2 764,5 026,45
Глубокое обучение на Python,Шолле Франсуа,Питер : Библиотека программиста,2 823,3 619,22
Микропроцессорные системы. Применение микроконтроллеров семейства AVR для управления внешними устр.,"Сонькин Михаил Аркадьевич, Шамин Алексей Алексеевич, Сонькин Дмитрий Михайлович",Инфра-Инженерия,751,1 366,45
Пять строк кода. Роберт Мартин рекомендует,Клаусен Кристиан,Питер : Библиотека программиста,1 701,2 181,22
Python. Исчерпывающее руководство,Бизли Дэвид,Питер : Для профессионалов,2 240,2 872,22
Практикум по анализу данных на языках Python и R. Учебное пособие,"Баюк Олег Александрович, Исаева Мариам Рамазановна, Самсонкин Максим Олегович",Прометей,518,941,45
Знакомство с Python,"Бейдер Дэн, Эймос Дэвид, Яблонски Джоанна",Питер : Библиотека программиста,2 746,Нет старой цены,Ошибка
Теория и практика программирования на языке Pascal,"Расолько Галина Алексеевна, Кремень Юрий Алексеевич",Вышэйшая школа,13 318,24 215,45
"Искусственный интеллект и компьютерное зрение. Реальные проекты на Python, Keras и TensorFlow","Коул Анирад, Ганджу Сиддха, Казам Мехер",Питер : Бестселлеры O`Reilly,3 787,4 855,22
Грокаем стриминг,"Фишер Джош, Ван Нин",Питер : Библиотека программиста,1 702,2 182,22
Высокопроизводительные Python-приложения. Практическое руководство по эффективному программированию,"Горелик Миша, Йен Освальд",Бомбора : Мировой компьютерный бестселлер (обложка),1 416,2 178,35
"JavaScript. Картинки, галереи, слайдеры. Учебное пособие для вузов",Янцев Валерий Викторович,Лань : Компьютеры и программное обеспечение,2 766,5 029,45
"JavaScript. Картинки, галереи, слайдеры. Учебное пособие для СПО",Янцев Валерий Викторович,Лань : Компьютеры и программное обеспечение,2 766,5 029,45
Entity Framework Core в действии,Смит Джон П.,ДМК-Пресс,3 071,5 583,45
API в разработке приложений Autodesk Inventor. Практическое руководство,Дюймовский Пайни,Инфра-Инженерия,2 042,3 713,45
Python без проблем. Решаем реальные задачи и пишем полезный код,Зингаро Даниэль,Питер : Библиотека программиста,1 618,2 074,22
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер : Бестселлеры O`Reilly,3 619,Нет старой цены,Ошибка
Кибердзюцу. Кибербезопасность для современных ниндзя,Маккарти Бен,Питер : Библиотека программиста,1 845,2 365,22
Black Hat Go. Программирование для хакеров и пентестеров,"Коттманн Дэн, Паттен Крис, Стил Том",Питер : Библиотека программиста,2 511,3 219,22
Алгоритмы неформально. Инструкция для начинающих питонистов,Брэдфорд Такфилд,Питер : Библиотека программиста,1 417,1 817,22
Разработка интерфейсов. Паттерны проектирования,"Тидвелл Дженифер, Брюэр Чарли, Эйнн Валенсия",Питер : Бестселлеры O`Reilly,2 766,3 546,22
Компьютерные системы. Архитектура и программирование,"Брайант Рэндал Э., О`Халларон Дэвид",ДМК-Пресс,3 838,6 979,45
Социальная инженерия и этичный хакинг на практике,Грей Джо,ДМК-Пресс,1 536,2 793,45
Spring быстро,Спилкэ Лауренциу,Питер,2 836,3 636,22
Kali Linux. Библия пентестера,Хаваджа Гас,Питер : Для профессионалов,4 241,5 437,22
Теория автоматического управления в примерах и задачах с решениями в MATLAB. Учебное пособие,"Гайдук Анатолий Романович, Пьявченко Тамила Алексеевна, Беляев Виктор Егорович",Лань : Учебники для вузов. Специальная литература,3 280,5 963,45
Основы программирования. Учебник,Шеина Татьяна Юрьевна,Лань : Компьютеры и программное обеспечение,1 799,3 270,45
Scala. Профессиональное программирование,"Одерски Мартин, Спун Лекс, Веннерс Билл",Питер : Библиотека программиста,5 672,7 272,22
Интернет вещей для начинающих. Визуальное программирование микроконтроллеров семейства ESP8266,Шамин Алексей Алексеевич,Инфра-Инженерия,751,1 366,45
Моделирование систем управления. Учебник для вузов,"Семенов Анатолий Дмитриевич, Юрков Николай Кондратьевич",Лань : Компьютеры и программное обеспечение,3 317,6 031,45
Исследование операций. Том 2. Задачи транспортного типа. Учебник для вузов,Трушков Александр Сергеевич,Лань : Компьютеры и программное обеспечение,2 766,5 029,45
"Python для сетевых инженеров. Автоматизация сети, программирование и DevOps",Чоу Эрик,Питер : Для профессионалов,3 815,4 891,22
Kafka в действии,"Скотт Дилан, Гамов Виктор, Клейн Дейв",ДМК-Пресс,2 303,4 187,45
Python. К вершинам мастерства. Лаконичное и эффективное программирование,Лусиану Рамальо,ДМК-Пресс,3 838,6 979,45
Объяснимые модели искусственного интеллекта на Python. Модель искусственного интеллекта,Мишра Прадипта,ДМК-Пресс,1 995,3 628,45
Проектирование гибких программ,"Хансон Крис, Сассман Джеральд Джей",ДМК-Пресс,2 303,4 187,45
Идеальная работа. Программирование без прикрас,Мартин Роберт С.,Питер : Библиотека программиста,1 361,1 745,22
Криптографические основы блокчейн-технологий,"Ищукова Евгения Александровна, Панасенко Сергей Петрович, Романенко Кирилл Сергеевич",ДМК-Пресс,1 536,2 793,45
Основы тестирования и верификации программного обеспечения. Учебное пособие,Старолетов Сергей Михайлович,Лань : Учебники для вузов. Специальная литература,2 997,5 449,45
Web-программирование на Python. Учебное пособие,Янцев Валерий Викторович,Лань : Компьютеры и программное обеспечение,2 351,4 274,45
Web-программирование на Python. Учебное пособие,Янцев Валерий Викторович,Лань : Компьютеры и программное обеспечение,2 351,4 274,45
Python. Чистый код для продолжающих,Свейгарт Эл,Питер : Библиотека программиста,2 263,2 901,22
Как проектировать программы,"Фелляйзен Маттиас, Финдлер Роберт Брюс, Флэтт Мэтью",ДМК-Пресс,3 071,5 583,45
Введение в программирование и структуры данных,"Фислер Кати, Кришнамурти Шрирам, Политц Джо Гиббс",ДМК-Пресс,2 303,4 187,45
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие. СПО,"Заяц Анатолий Моисеевич, Васильев Николай Павлович",Лань : Компьютеры и программное обеспечение,1 555,2 827,45
Программирование в САПР. Учебное пособие,Лянг Виктор Федорович,ИНФРА-М : Высшее образование. Бакалавриат,5 753,Нет старой цены,Ошибка
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие,"Васильев Николай Павлович, Заяц Анатолий Моисеевич",Лань : Учебники для вузов. Специальная литература,2 719,4 943,45
SQL. Быстрое погружение,Шилдс Уолтер,Питер : Библиотека программиста,1 628,Нет старой цены,Ошибка
Параллельное программирование на современном С++,Гримм Райнер,ДМК-Пресс,3 071,5 583,45
Устройство и программирование автономных роботов. Проекты на Python и Raspberry PI,Стейпл Дэнни,ДМК-Пресс,1 995,3 628,45
Практический хакинг интернета вещей,"Чанцис Фотиос, Стаис Иоаннис, Кальдерон Паулино",ДМК-Пресс,2 764,5 026,45
Spring в действии,Уоллс Крейг,ДМК-Пресс,3 071,5 583,45
Практическое введение в решение дифференциальных уравнений в Python,Ершов Николай Михайлович,ДМК-Пресс,1 536,2 793,45
Тестирование программного обеспечения,Игнатьев Александр Владимирович,Лань : Компьютеры и программное обеспечение,498,905,45
Разработка моделей предметной области автоматизации. Учебник для вузов,Котлинский Сергей Владимирович,Лань : Компьютеры и программное обеспечение,3 079,5 598,45
Разработка моделей предметной области автоматизации. Учебник для СПО,Котлинский Сергей Владимирович,Лань : Компьютеры и программное обеспечение,2 786,5 065,45
Тестирование программного обеспечения. Учебное пособие для СПО,Игнатьев Александр Владимирович,Лань : Компьютеры и программное обеспечение,498,905,45
Проектирование человеко-машинного взаимодействия. Учебник для вузов,Игнатьев Александр Владимирович,Лань : Компьютеры и программное обеспечение,498,905,45
Программные коллекции данных. Проектирование и реализация. Учебник,Романенко Татьяна Александровна,Лань : Компьютеры и программное обеспечение,1 613,2 933,45
Программные коллекции данных. Проектирование и реализация. Учебное пособие для СПО,Романенко Татьяна Александровна,Лань : Компьютеры и программное обеспечение,1 613,2 933,45
C# 9 и .NET 5. Разработка и оптимизация,Прайс Марк Дж.,Питер : Для профессионалов,3 545,4 545,22
Функциональное программирование. Учебник,Гордиенко Александр Петрович,Кнорус : Магистратура,1 118,2 032,45
Clojure на производстве,Гришаев Иван,ДМК-Пресс,1 536,2 793,45
Алгоритмы ГИС,Сяо Нинчуань,ДМК-Пресс,1 842,3 349,45
Изучаем SHINY,Уикем Хэдли,ДМК-Пресс,2 456,4 466,45
Анализ поведенческих данных на R и PYTHON,Бюиссон Флоран,ДМК-Пресс,2 303,4 187,45
Оптимизация запросов PostgreSQL,"Домбровская Генриэтта, Бейликова Анна, Новиков Борис",ДМК-Пресс,1 612,2 930,45
Разработка беспилотных транспортных средств,"Лю Шаошань, Ли Лиюнь, Тан Цзе",ДМК-Пресс,1 688,3 069,45
Сети 6G. Путь от 5G к 6G глазами разработчиков,"Тонг Вэнь, Ахаваин Арашмид, Чжу Пэйин",ДМК-Пресс,3 071,5 583,45
Корпоративные информационные системы на базе решения Oracle E-Business Suite. Калькуляция затрат,"Васильева Елена Викторовна, Громова Алла Александровна",Прометей,592,1 076,45
Проектирование цифровых образовательных ресурсов,"Коннова Лариса Петровна, Липагина Лариса Владимировна, Постовалова Г. А.",Прометей,1 109,2 016,45
Классические задачи Computer Science на языке Java,Копец Дэвид,Питер : Библиотека программиста,1 545,1 981,22
Организация и архитектура ЭВМ. Вычислительные системы. Учебное пособие,Журавлев Антон Евгеньевич,Лань : Компьютеры и программное обеспечение,1 246,2 266,45
Информационное моделирование: методолгия использования цифровых моделей. Часть 1,Бачурина Светлана Самуиловна,ДМК-Пресс,767,1 395,45
Head First. Паттерны проектирования,"Фримен Эрик, Сьерра Кэтти, Робсон Элизабет",Питер : Head First (O'Reilly),1 791,2 239,20
Web-программирование на JavaScript. Учебное пособие для СПО,Диков Андрей Валентинович,Лань : Компьютеры и программное обеспечение,1 275,2 319,45
Автоматизация рутинных задач с помощью Python,Свейгарт Эл,Диалектика,2 958,5 378,45
Алгоритмы. Теория и практическое применение,Стивенс Род,Эксмо : Мировой компьютерный бестселлер,1 172,1 803,35
Апокалипсис криптографии. Подготовка криптографии к квантовым вычислениям,Граймс Роджер А.,ДМК-Пресс,1 842,3 349,45
{Вы пока еще не знаете JS}. Область видимости и замыкания,Симпсон Кайл,Питер : Библиотека программиста,1 192,1 528,22
Паттерны программирования игр,Нистрем Роберт,Бомбора : Мировой компьютерный бестселлер,1 416,2 178,35
React. Современные шаблоны для разработки приложений,"Бэнкс Алекс, Порселло Ева",Питер : Бестселлеры O`Reilly,1 945,2 493,22
JavaScript. Обработка событий на примерах. Учебное пособие,Янцев Валерий Викторович,Лань : Компьютеры и программное обеспечение,1 759,3 198,45
ASP.NET CORE в действии,Лок Эндрю,ДМК-Пресс,3 148,5 723,45
Анализируем данные в Microsoft Power BI. Подготовка к экзамену DA-100,Маслюк Даниил,ДМК-Пресс,1 842,3 349,45
Программирование на PHP в примерах и задачах,Васильев Алексей,Эксмо-Пресс : Российский компьютерный бестселлер,902,1 388,35
Статистический анализ экспериментальных данных в пакетах MathCAD и Excel. Учебное пособие для вузов,Воскобойников Юрий Евгеньевич,Лань : Компьютеры и программное обеспечение,2 118,3 851,45
Инженерные расчеты. Книга-билингва. Учебное пособие,"Очков Валерий Федорович, Орлов Константин Александрович, Тихонов Антон Иванович",Лань : Компьютеры и программное обеспечение,2 638,4 796,45
Системы искусственного интеллекта. Моделирование нейронных сетей в системе MATLAB. Лабораторный пр.,"Романов Петр Сергеевич, Романова Ирина Петровна",Лань : Компьютеры и программное обеспечение,1 026,1 865,45
JavaScript. Обработка событий на примерах. Учебное пособие для СПО,Янцев Валерий Викторович,Лань : Компьютеры и программное обеспечение,1 759,3 198,45
Компьютерное моделирование автоматизации технологических процессов и производств. Практикум. СПО,Алексеев Владимир Анатольевич,Лань : Компьютеры и программное обеспечение,1 613,2 933,45
Ghidra. Полное руководство,"Игл Крис, Нэнс Кара",ДМК-Пресс,3 225,5 863,45
Изучаем WinUI 3.0,Эшкрафт Элвин,ДМК-Пресс,1 536,2 793,45
Осваиваем Ethereum. Создание смарт-контрактов и децентрализованных приложений,"Антонопулос Андреас М., Вуд Гэвин",Бомбора : Мировой компьютерный бестселлер,1 901,2 925,35
SQL за 10 минут,Форта Бен,Вильямс,1 478,2 688,45
Облачные архитектуры. Разработка устойчивых и экономичных облачных приложений,"Лащевски Том, Арора Камаль, Фарр Эрик",Питер : Библиотека программиста,1 560,2 000,22
Программируем на C# 8.0. Разработка приложений,Гриффитс Иэн,Питер : Бестселлеры O`Reilly,4 099,5 255,22
C# 9.0. Справочник. Полное описание языка,Албахари Джозеф,Диалектика,5 224,9 498,45
Изучаем квантовые вычисления на Python и Q#,"Кайзер Сара, Гранад Кристофер",ДМК-Пресс,2 610,4 746,45
"Системы автоматического управления: теория, применение, моделирование в MATLAB. Учебное пособие",Ощепков Александр Юрьевич,Лань : Учебники для вузов. Специальная литература,1 866,3 392,45
Коды с суммированием для систем технического диагностирования. В 2-х томах,"Сапожников Валерий Владимирович, Ефанов Дмитрий Викторович, Сапожников Владимир Владимирович",Наука,1 168,2 123,45
Основы тестирования программного обеспечения. Учебное пособие для СПО,Старолетов Сергей Михайлович,Лань : Компьютеры и программное обеспечение,1 922,3 494,45
"Гид по Computer Science, расширенное издание",Спрингер Вильям,Питер : Библиотека программиста,1 185,1 519,22
Как работают компьютерные сети и интернет,Северанс Чарльз Р.,ДМК-Пресс,997,1 813,45
Разработка конвейеров машинного обучения. Автоматизация жизненных циклов модели с помощью TensorFlow,"Ханнес Хапке, Нельсон Кэтрин",ДМК-Пресс,1 612,2 930,45
Технология программирования. Проектирование. Комплексное тестирование. Программная документация,Иванова Галина Сергеевна,Кнорус : Бакалавриат,1 118,2 032,45
"Безопасность веб-приложений. Разведка, защита, нападение",Хоффман Эндрю,Питер : Бестселлеры O`Reilly,2 521,3 232,22
Распределенные данные. Алгоритмы работы современных систем хранения информации,Петров Алекс,Питер : Бестселлеры O`Reilly,2 731,3 501,22
Безопасно by Design,"Берг Джонсон Дэн, Деоган Дэниел, Савано Дэниел",Питер : Библиотека программиста,2 213,2 837,22
Пакет прикладных программ. Учебное пособие,Шитов Виктор Николаевич,ИНФРА-М : Среднее профессиональное образование,4 046,Нет старой цены,Ошибка
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor,Лянг Виктор Федорович,ИНФРА-М : Высшее образование. Бакалавриат,2 662,Нет старой цены,Ошибка
Искусство тестирования на проникновение в сеть,Дэвис Ройс,ДМК-Пресс,1 688,3 069,45
Построение пользовательских интерфейсов,Малышев Кирилл Викторович,ДМК-Пресс,1 688,3 069,45
Open Source. Разработка программ с открытым исходным кодом,Эгбал Надья,Питер : Библиотека программиста,2 405,3 083,22
"Теоретический минимум по Computer Science. Сети, криптография и data science","Феррейра Фило Владстон, Пиктет Мото",Питер : Библиотека программиста,1 701,2 181,22
Программирование в Roblox. Сделать игру - проще простого,Брамбо Зандер,ДМК-Пресс,1 536,2 793,45
Алгоритмы. Самый краткий и понятный курс,Луридас Панос,Бомбора : Библиотека MIT,625,856,27
Масштабируемый рефакторинг. Возвращаем контроль над кодом,Лемер Мод,Питер : Бестселлеры O`Reilly,1 631,2 091,22
Многопоточный JavaScript,"Хантер Томас II, Инглиш Брайан",ДМК-Пресс,1 995,3 628,45
JavaScript. Визуальные редакторы. Учебное пособие для СПО,Янцев Валерий Викторович,Лань : Компьютеры и программное обеспечение,1 992,3 621,45
JavaScript. Визуальные редакторы. Учебное пособие для вузов,Янцев Валерий Викторович,Лань : Компьютеры и программное обеспечение,1 759,3 198,45
Языки программирования и методы трансляции. Учебное пособие для вузов,Свердлов Сергей Залманович,Лань : Компьютеры и программное обеспечение,2 856,5 192,45
Алгоритмы Data Science и их практическая реализация на Python,"Протодьяконов Андрей Владимирович, Пылов Петр Андреевич, Садовников Владимир Евгениевич",Инфра-Инженерия,1 642,2 985,45
Графический анализ на языке R. Учебно-методическое пособие,Лукьянов Павел Борисович,Прометей,666,1 210,45
Head First. Изучаем C#,"Стиллмен Эндрю, Грин Дженнифер",Питер : Head First (O'Reilly),2 908,3 728,22
Основы алгоритмизации и программирования на Visual C++. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М : Высшее образование. Бакалавриат,5 350,Нет старой цены,Ошибка
Алгоритмы и программы. Язык С++. Учебное пособие для СП,"Конова Елена Александровна, Поллак Галина Андреевна",Лань : Учебники для вузов. Специальная литература,1 542,2 803,45
Вероятностное программирование. Учебное пособие,Колбин Вячеслав Викторович,Лань : Математика,3 412,6 204,45
Программирование на языке Си. Учебное пособие для вузов,Рацеев Сергей Михайлович,Лань : Компьютеры и программное обеспечение,2 786,5 065,45
Руткиты и буткиты. Обратная разработка вредоносных программ и угрозы следующего поколения,"Матросов Александр, Родионов Евгений, Братусь Сергей",ДМК-Пресс,2 918,5 306,45
Профессиональный бенчмарк. Искусство измерения производительности,Акиньшин Андрей,Питер : Библиотека программиста,2 836,3 636,22
Язык программирования C# 9 и платформа .NET 5: основные принципы и практики программирования,"Троелсен Эндрю, Джепикс Филипп",Диалектика,5 914,10 752,45
Этичный хакинг. Практическое руководство по взлому,Грэм Дэниел Г.,Питер : Библиотека программиста,2 255,2 891,22
Основы построения экономических моделей в Excel. Учебник для СПО,"Воскобойников Юрий Евгеньевич, Мухина Ирина Николаевна",Лань : Компьютеры и программное обеспечение,1 613,2 933,45
Программирование на языке Си.Учебное пособие для СПО,Рацеев Сергей Михайлович,Лань : Компьютеры и программное обеспечение,2 638,4 796,45
JavaScript.Как писать программы.Учебное пособие для вузов,Янцев Валерий Викторович,Лань : Компьютеры и программное обеспечение,1 907,3 467,45
JavaScript.Как писать программы Учебное пособие для СПО,Янцев Валерий Викторович,Лань : Компьютеры и программное обеспечение,1 907,3 467,45
Построение распределенных систем на базе WebSocket. Учебное пособие для вузов,"Хабаров Сергей Петрович, Шилкина Мария Львовна",Лань : Компьютеры и программное обеспечение,2 041,3 710,45
Svelte и Sapper в действии,Волкманн Марк,Питер : Для профессионалов,4 197,5 381,22
Хочу в геймдев! Основы игровой разработки для начинающих,"Уточкин Вячеслав Николаевич, Сахнов Константин Сергеевич",Бомбора : Российский компьютерный бестселлер,1 062,1 455,27
Разработка игр и теория развлечений,Костер Рэф,ДМК-Пресс,1 765,3 209,45
Структуры данных в Python. Начальный курс,Шихи Дональд Р.,ДМК-Пресс,1 382,2 513,45
Большая книга проектов Python,Свейгарт Эл,Питер,1 688,2 164,22
System Design. Подготовка к сложному интервью,Сюй Алекс,Питер,1 109,1 386,20
Глубокое обучение с подкреплением. Теория и практика на языке Python,"Грессер Лаура, Кенг Ван Лун",Питер : Библиотека программиста,2 540,3 256,22
Искусство WebAssembly. Создание безопасных межплатформенных высокопроизводительных приложений,Баттальини Рик,ДМК-Пресс,1 536,2 793,45
Микросервисы Spring в действии,"Карнелл Джон, Санчес Иллари Уайлупо",ДМК-Пресс,2 764,5 026,45
Осваиваем архитектуру Transformer. Разработка современных моделей с помощью передовых методов,"Йылдырым Саваш, Асгари-Ченаглу Мейсам",ДМК-Пресс,2 303,4 187,45
Основы юзабилити-тестирования,Барнум Кэрол М.,ДМК-Пресс,2 764,5 026,45
Творческие проекты с микроконтроллером в среде TinyGo и WebAssembly,Тил Тобиас,ДМК-Пресс,1 688,3 069,45
Вычисления в кольцах некоммутативных многочленов. Учебное пособие для вузов,Цирулик Владимир Григорьевич,Лань : Компьютеры и программное обеспечение,2 798,5 088,45
Практический анализ двоичных файлов,Эндриесс Дэннис,ДМК-Пресс,2 610,4 746,45
Изучаем C# через разработку игр на Unity,Ферроне Харрисон,Питер : Библиотека программиста,1 830,2 346,22
Основы алгоритмизации и программирования на языке Паскаль. Лабораторный практикум. Учебное пособие,Коренская Ирина Николаевна,Лань : Компьютеры и программное обеспечение,1 105,2 009,45
Исследование операций. Том 1. Линейное программирование. Учебник для вузов,Трушков Александр Сергеевич,Лань : Компьютеры и программное обеспечение,2 053,3 732,45
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше,Сабиров Василий Константинович,Бомбора : Российский компьютерный бестселлер,1 499,2 053,27
Apache Airflow и конвейеры обработки данных,"Харенслак Бас, Руйтер Джулиан де",ДМК-Пресс,2 918,5 306,45
Python для всех,Северанс Чарльз Р.,ДМК-Пресс,1 074,1 953,45
Практикум по проектированию на языках VerilogHDL и SystemVerilog. Учебное пособие,"Мурсаев Александр Хафизович, Буренева Ольга Игоревна",Лань : Учебники для вузов. Специальная литература,943,1 715,45
Использование языка Python в теории вероятностей. Учебник,Криволапов Сергей Яковлевич,Прометей,1 626,2 957,45
Экономика на Python. Учебник,"Хрипунова Марина Борисовна, Губернаторов Алексей Михайлович",Прометей,1 183,2 151,45
Black Hat Python. Программирование для хакеров и пентестеров,"Зейтц Джастин, Арнольд Тим",Питер : Библиотека программиста,1 688,2 164,22
Однострочники Python. Лаконичный и содержательный код,Майер Кристиан,Питер : Библиотека программиста,1 688,2 164,22
Гид Java-разработчика. Проектно-ориентированный подход,"Урма Рауль-Габриэль, Уорбэртон Ричард",Бомбора : Мировой компьютерный бестселлер,844,1 156,27
"PHP 8. Объекты, шаблоны и методики программирования",Зандстра Мэтт,Диалектика,4 436,8 066,45
Python и DevOps. Ключ к автоматизации Linux,"Гифт Ной, Берман Кеннеди, Деза Альфредо",Питер : Бестселлеры O`Reilly,2 561,3 283,22
Прикладное программирование на С/С++: с нуля,Иванов Всеволод Борисович,Солон-пресс : Программирование,768,1 397,45
Введение в логическое программирование,"Дженесерет Майкл, Чаудри Винай К.",ДМК-Пресс,1 688,3 069,45
Параллельное программирование на C# и .NET Core,Шакти Танвар,ДМК-Пресс,1 612,2 930,45
Разработка игр на языке JavaScript. Учебное пособие,Беляев Сергей Алексеевич,Лань : Компьютеры и программное обеспечение,481,875,45
Параллельные и высокопроизводительные вычисления,"Роби Роберт, Замора Джулиана",ДМК-Пресс,3 838,6 979,45
Исследование операций в экономике. Практикум. Учебное пособие для вузов,Слабнов Виктор Дмитриевич,Лань : Компьютеры и программное обеспечение,2 638,4 796,45
WebAssembly в действии,Галлан Жерар,Питер : Библиотека программиста,2 823,3 619,22
Функциональное программирование на JavaScript. Как улучшить код JavaScript-программ,Атенсио Луис,Вильямс,2 958,5 378,45
Разработка операционной системы и компилятора. Проект Оберон,"Вирт Никлаус, Гуткнехт Юрг",ДМК-Пресс : Классика программирования,1 688,3 069,45
CodeVisionAVR. Пособие для начинающих,Лебедев Михаил Борисович,ДМК-Пресс : Программируемые системы,1 074,1 953,45
"Как написать безопасный код на С++, Java, Perl, PHP, ASP.NET","Ховард Майкл, Лебланк Дэвид, Виега Джон",ДМК-Пресс,767,1 395,45
Scala. Профессиональное программирование,"Одерски Мартин, Спун Лекс, Веннерс Билл",Питер : Библиотека программиста,2 480,3 179,22
Искусство алгоритмизации,Потопахин Виталий Валерьевич,ДМК-Пресс,845,1 536,45
Java 9. Полный обзор нововведений,Кишори Шаран,ДМК-Пресс : Программирование,1 536,2 793,45
Kotlin в действии,"Жемеров Дмитрий Борисович, Исакова Светлана Сергеевна",ДМК-Пресс,1 536,2 793,45
Конкурентное программирование на Scala,Прокопец Александр,ДМК-Пресс,1 305,2 372,45
Крупномасштабное машинное обучение вместе с Python,"Шарден Бастиан, Массарон Лука, Боскетти Альберто",ДМК-Пресс,1 688,3 069,45
